Name,Smiles,solv_dip,G_solv,HOMO_solv,LUMO_solv,C_charges,O_charges,Most_neg,Most_pos,Het_charges,SASA,LsoluHsolv,LsolvHsolu,Volume,MW,DeltaG_sol
Ph1-en-412_water.log,COc1cc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)ccc1O,6.6538,0.048469,-0.3359,-0.02827,-0.5845510000000003,-2.6711080000000003,-0.655986,0.618544,-4.769093,633.1455688476562,0.4169,0.48461,451.013,416.20852658679127,-0.029734999999999998
Ph1-en-422_water.log,CC(C)C[C@H](NC(=O)c1cccc(O)c1F)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,7.3122,0.006526,-0.35656,-0.03627,-0.330001,-2.3471900000000003,-0.651562,0.613499,-4.561298000000001,610.0036010742188,0.40890000000000004,0.50527,380.795,404.1884627528007,-0.028190999999999997
Ph1-en-456_water.log,CC(C)C[C@H](NC(=O)CCc1nc[nH]n1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,10.4387,0.169454,-0.36524,-0.00257,-0.27498600000000006,-1.9158050000000002,-0.671147,0.625307,-5.0486,591.3190307617188,0.4426,0.51395,369.562,389.21993080766117,-0.03131400000000001
Ph1-en-469_water.log,CC(C)C[C@H](NC(=O)CCn1cc(Cl)cn1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,9.8577,0.166212,-0.35487,0.00648,-0.843078,-1.889535,-0.683105,0.634014,-4.324554,599.8457641601562,0.45165,0.50358,433.043,422.18591330326143,-0.026396000000000003
Ph1-en-473_water.log,CC(C)C[C@H](NC(=O)CCn1cccn1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,8.9898,0.19185,-0.36353,0.01309,-0.9485489999999999,-1.900409,-0.691487,0.627623,-4.3847629999999995,585.1017456054688,0.45826,0.51224,406.391,388.22467469423856,-0.02340600000000001
Ph1-en-48_water.log,Cc1c(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)cnn1C,9.7935,0.18114,-0.36052,-0.00998,-0.875111,-1.914697,-0.658541,0.659504,-4.414611,616.6004028320312,0.43519,0.5092300000000001,426.585,388.22467469423856,-0.029272999999999993
Ph1-en-597_water.log,CC(C)C[C@H](NC(=O)n1ccc(=O)[nH]c1=O)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,3.0666,-0.022911,-0.36664,-0.0308,1.259943,-2.954204,-0.644139,0.780595,-6.082390999999999,612.1956787109375,0.41437,0.51535,378.797,404.1833027211049,-0.026907
Ph1-en-613_water.log,CCn1cc(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)cn1,9.3426,0.191338,-0.36202,-0.01316,-0.8482829999999999,-1.9038519999999999,-0.657367,0.654402,-4.378048,638.8978271484375,0.43201,0.51073,426.626,388.22467469423856,-0.02535699999999999
Ph1-en-702_water.log,CC(C)C[C@H](NC(=O)c1ccc(C(F)(F)F)cn1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,3.3156,-0.094323,-0.36591,-0.05201,0.3378779999999999,-1.851452,-0.673987,0.608639,-4.944168,653.0494995117188,0.39316,0.5146200000000001,396.578,439.18581772623287,-0.024492
Ph1-en-93_water.log,CC(C)C[C@H](NC(=O)C1CC2(CCOC2)C1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,10.697,0.114834,-0.36634,0.01317,-1.250047,-2.370243,-0.686855,0.621456,-4.417387,641.6080322265625,0.45834,0.51505,387.185,404.24484309912054,-0.02872699999999999
Ph1-en-nr-197_water.log,CC(C)C[C@H](NC(=O)CCc1n[nH]c2ccccc12)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,12.3538,0.248929,-0.33218,-0.02186,-1.2600150000000003,-1.878707,-0.652444,0.633431,-4.5008099999999995,671.4266357421875,0.42331,0.48089,456.224,438.2406319203702,-0.028447
Ph1-en-nr-350_water.log,CC(C)C[C@H](NC(=O)CCc1cscn1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,3.3593,0.153044,-0.34581,-0.02652,-0.883652,-1.8937220000000001,-0.690547,0.652449,-4.229899,617.1412353515625,0.41865,0.49452,453.966,405.1859488799214,-0.035081999999999974
Ph1-en-nr-352_water.log,CC(C)C[C@H](NC(=O)CCc1nnc[nH]1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,7.4496,0.170913,-0.36619,0.00155,-0.40759900000000016,-1.901545,-0.695557,0.633045,-4.939463000000001,622.3244018554688,0.44672,0.5149,452.18,389.21993080766117,-0.03243099999999999
Ph1-en-nr-48_water.log,CCn1cc(CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)cn1,2.8624,0.215648,-0.35089,0.01642,-1.4697899999999997,-1.9048669999999999,-0.659795,0.637268,-4.411465,635.2003173828125,0.46159,0.4996,489.719,416.2561468793019,-0.026037000000000005
Ph1-en-nr-673_water.log,Cc1nnc(CCC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)o1,4.1894,0.107679,-0.36053,-0.01375,-0.539083,-2.153542,-0.68029,0.651589,-4.867364,602.4697265625,0.43142,0.50924,440.418,404.2196829445727,-0.033670000000000005
Ph2-ch-145_water.log,CC(C)C[C@H](NC(=O)c1ccc(NC(=O)C2CC2)cc1Cl)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,13.3152,0.151159,-0.35322,-0.03404,-0.7026140000000001,-2.466932,-0.70269,0.643553,-5.107659,687.674072265625,0.41113,0.50193,542.437,487.2016226663046,-0.028416000000000025
Ph2-ch-835_water.log,CC(C)C[C@H](NC(=O)c1ccc2[nH]c(=O)oc2c1)C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O,5.5205,0.048906,-0.34865,-0.0333,0.3353579999999998,-2.673799,-0.678133,0.686377,-5.260327,646.9746704101562,0.41187,0.49736,348.063,427.1881940300823,-0.028569000000000004
Ph2-ch-nr-466_water.log,CC(=O)Nc1c(C)nn(C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C#N)C[C@@H]2CCNC2=O)c1C,7.497,0.136752,-0.34112,-0.01843,-0.44380300000000006,-2.408952,-0.649588,0.746458,-5.592622,708.8651123046875,0.42674,0.48983,457.215,445.24648495425873,-0.032304
